id,nameKo,nameEn,shortDescription,rulesSummary,minPlayers,maxPlayers,avgPlayTimeMinutes,difficulty,genre,tags,isBeginnerFriendly,isKidFriendly,isPartyGame,isStrategyGame,playStyle,imageUrl,imageSource,imageLicense,dataSourceUrl,dataLicense,contentLicense,reviewedAt,reviewedBy,aliases
senet,세네트,Senet,고대 이집트에서 전해진 두 사람용 경주 게임입니다.,이동 결과에 따라 말을 전진시켜 자신의 말을 먼저 모두 빼냅니다.,2,2,30,medium,strategy,고대|경주,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q582169.json,CC0-1.0,project-authored,2026-07-18,project-curation,
royal-game-of-ur,우르 왕실 게임,Royal Game of Ur,특수 주사위로 말을 움직이는 고대 메소포타미아 경주 게임입니다.,공용 경로에서 상대를 견제하며 자신의 말을 모두 먼저 도착시킵니다.,2,2,30,medium,strategy,고대|경주,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q937315.json,CC0-1.0,project-authored,2026-07-18,project-curation,
pachisi,파치시,Pachisi,십자형 보드에서 말을 이동시키는 인도 전통 경주 게임입니다.,던진 값에 따라 말을 움직여 모든 말을 중앙 목표에 먼저 보냅니다.,2,4,45,easy,family,전통|경주,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q796171.json,CC0-1.0,project-authored,2026-07-18,project-curation,
othello,오셀로,Othello,양면 돌로 상대 돌을 뒤집어 영역을 넓히는 추상 게임입니다.,같은 색 돌 사이에 상대 돌을 끼워 뒤집고 마지막에 더 많은 돌을 차지합니다.,2,2,30,medium,strategy,추상|영역,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q748139.json,CC0-1.0,project-authored,2026-07-18,project-curation,리버시
ludo,루도,Ludo,주사위로 네 개의 말을 홈까지 보내는 가족 경주 게임입니다.,말을 출발시켜 트랙을 돌고 자신의 홈 칸에 모두 먼저 도착시킵니다.,2,4,30,easy,family,주사위|경주,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1030283.json,CC0-1.0,project-authored,2026-07-18,project-curation,
rummikub,루미큐브,Rummikub,숫자 타일을 연속이나 같은 숫자 묶음으로 내는 가족 게임입니다.,조건에 맞는 조합을 만들거나 테이블 조합을 재배치해 손의 타일을 없앱니다.,2,4,45,easy,family,숫자|타일,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q829265.json,CC0-1.0,project-authored,2026-07-18,project-curation,
chinese-checkers,차이니즈 체커,Chinese Checkers,별 모양 보드에서 말을 건너 반대편으로 옮기는 추상 경주 게임입니다.,인접 칸으로 이동하거나 연속 점프해 자신의 말을 목표 삼각형에 모읍니다.,2,6,30,easy,family,추상|점프,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1045090.json,CC0-1.0,project-authored,2026-07-18,project-curation,
hex,헥스,Hex,두 변을 먼저 연결하는 육각 격자 추상 전략 게임입니다.,자신의 돌을 한 칸씩 놓아 맡은 두 보드 가장자리 사이의 연결로를 만듭니다.,2,2,30,hard,strategy,추상|연결,false,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q844874.json,CC0-1.0,project-authored,2026-07-18,project-curation,
mensch-aergere-dich-nicht,멘쉬 에르거레 디히 니히트,Mensch ärgere Dich nicht,주사위로 말을 홈까지 보내며 상대 말을 되돌리는 가족 게임입니다.,자신의 말을 이동시켜 네 말을 모두 홈에 먼저 넣습니다.,2,4,45,easy,family,주사위|경주,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q545129.json,CC0-1.0,project-authored,2026-07-18,project-curation,
gomoku,오목,Gomoku,바둑판에 돌 다섯 개를 먼저 잇는 추상 게임입니다.,빈 교차점에 번갈아 돌을 놓아 가로 세로 대각선으로 다섯 개를 연결합니다.,2,2,15,easy,strategy,추상|연결,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q908381.json,CC0-1.0,project-authored,2026-07-18,project-curation,
connect-four,커넥트 포,Connect Four,수직 격자에 원반 네 개를 먼저 잇는 게임입니다.,열을 골라 원반을 떨어뜨리고 가로 세로 대각선 네 칸을 연결합니다.,2,2,15,easy,puzzle,연결|입문,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17254.json,CC0-1.0,project-authored,2026-07-18,project-curation,사목
stratego,스트라테고,Stratego,계급을 숨긴 말을 운용해 상대 깃발을 찾는 전략 게임입니다.,말을 이동해 전투하고 상대의 숨겨진 깃발을 먼저 점령합니다.,2,2,60,medium,strategy,블러핑|전쟁,false,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q241538.json,CC0-1.0,project-authored,2026-07-18,project-curation,
mastermind,마스터마인드,Mastermind,색상과 순서로 된 비밀 코드를 추리하는 퍼즐 게임입니다.,색 핀을 제시하고 위치와 색에 대한 피드백을 받아 제한 횟수 안에 코드를 맞힙니다.,2,2,20,easy,puzzle,추리|코드,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17286.json,CC0-1.0,project-authored,2026-07-18,project-curation,
halma,할마,Halma,말을 연속 점프해 반대편 진영으로 보내는 추상 게임입니다.,인접 이동과 연쇄 점프를 사용해 자신의 모든 말을 목표 진영에 옮깁니다.,2,4,45,medium,strategy,추상|점프,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q980091.json,CC0-1.0,project-authored,2026-07-18,project-curation,
diplomacy,디플로머시,Diplomacy,협상과 동시 명령으로 유럽의 세력을 다투는 전략 게임입니다.,매 라운드 협상 후 부대 명령을 동시에 공개해 보급 중심지를 확보합니다.,2,7,240,hard,strategy,협상|영토,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1871.json,CC0-1.0,project-authored,2026-07-18,project-curation,
trivial-pursuit,트리비얼 퍼슈트,Trivial Pursuit,여러 분야의 상식 문제에 답하는 퀴즈 파티 게임입니다.,보드를 이동하며 분야별 질문에 답해 필요한 색 조각을 모두 모읍니다.,2,6,60,easy,party,퀴즈|상식,true,true,true,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q17250.json,CC0-1.0,project-authored,2026-07-18,project-curation,
puerto-rico,푸에르토리코,Puerto Rico,역할을 선택해 생산과 선적을 운영하는 경제 전략 게임입니다.,라운드마다 역할을 골라 건설하고 생산하고 상품을 선적해 승점을 얻습니다.,3,5,120,hard,strategy,역할선택|경제,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1457040.json,CC0-1.0,project-authored,2026-07-18,project-curation,
agricola,아그리콜라,Agricola,일꾼을 배치해 농장을 확장하고 가족을 부양하는 전략 게임입니다.,차례마다 행동 칸을 선택해 자원을 모으고 농사와 축산으로 점수를 냅니다.,1,5,120,hard,strategy,일꾼놓기|농장,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q396644.json,CC0-1.0,project-authored,2026-07-18,project-curation,
quarto,콰르토,Quarto,상대가 고른 말을 놓아 공통 속성 네 개를 잇는 추상 게임입니다.,상대에게 놓을 말을 건네고 받은 말을 배치해 같은 속성의 한 줄을 만듭니다.,2,2,15,medium,puzzle,추상|패턴,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q527125.json,CC0-1.0,project-authored,2026-07-18,project-curation,
blokus,블로커스,Blokus,모서리로만 이어지는 조각을 놓아 영역을 확보하는 퍼즐 게임입니다.,자기 색 조각끼리 꼭짓점만 닿게 놓고 더 많은 칸을 보드에 배치합니다.,2,4,30,easy,puzzle,폴리오미노|영역,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q540081.json,CC0-1.0,project-authored,2026-07-18,project-curation,
yut,윷놀이,Yut,윷 결과로 말을 움직이는 한국 전통 가족 게임입니다.,윷가락 결과에 따라 말을 이동하고 업기와 잡기를 활용해 모든 말을 완주합니다.,2,8,30,easy,family,전통|경주,true,true,true,false,team,,,,https://www.wikidata.org/wiki/Special:EntityData/Q706464.json,CC0-1.0,project-authored,2026-07-18,project-curation,윷
arkham-horror,아컴 호러,Arkham Horror,도시의 단서를 모아 고대 존재의 출현을 막는 협력 게임입니다.,조사자 능력으로 사건을 해결하고 차원문을 봉인해 공동 목표를 달성합니다.,1,8,180,hard,cooperative,협력|공포,false,false,false,true,cooperative,,,,https://www.wikidata.org/wiki/Special:EntityData/Q597760.json,CC0-1.0,project-authored,2026-07-18,project-curation,
tantrix,탠트릭스,Tantrix,색 선이 그려진 육각 타일을 연결하는 퍼즐 게임입니다.,타일의 모든 맞닿은 선 색을 일치시키며 자신의 색 경로나 고리를 만듭니다.,1,4,30,medium,puzzle,타일|연결,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1073027.json,CC0-1.0,project-authored,2026-07-18,project-curation,
power-grid,파워 그리드,Power Grid,발전소와 연료 시장을 운영해 도시망을 확장하는 경제 게임입니다.,발전소를 경매로 사고 연료를 구매해 연결한 도시에 전력을 공급합니다.,2,6,120,hard,strategy,경매|경제,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1474394.json,CC0-1.0,project-authored,2026-07-18,project-curation,
axis-and-allies,액시스 앤 앨라이즈,Axis & Allies,세계 지도를 두 진영으로 나눠 전쟁을 운영하는 전략 게임입니다.,생산 자원으로 부대를 구매하고 지역을 이동해 상대 핵심 영토를 점령합니다.,2,5,180,hard,strategy,전쟁|영토,false,false,false,true,team,,,,https://www.wikidata.org/wiki/Special:EntityData/Q792553.json,CC0-1.0,project-authored,2026-07-18,project-curation,
blood-bowl,블러드 볼,Blood Bowl,판타지 팀이 거친 미식축구 경기를 벌이는 전술 게임입니다.,선수를 이동하고 블록하며 공을 상대 엔드존으로 운반해 득점합니다.,2,2,120,hard,strategy,스포츠|전술,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1700560.json,CC0-1.0,project-authored,2026-07-18,project-curation,
game-of-thrones,왕좌의 게임 보드게임,A Game of Thrones,가문을 이끌고 웨스테로스의 성을 다투는 협상 전략 게임입니다.,명령 토큰을 비공개로 배치한 뒤 이동과 지원과 전투로 성을 확보합니다.,3,6,180,hard,strategy,협상|영토,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1755280.json,CC0-1.0,project-authored,2026-07-18,project-curation,
caylus,케일러스,Caylus,중세 도시 건설에 일꾼을 보내는 전략 게임입니다.,건물 행동에 일꾼을 놓고 자원을 모아 성과 도시 건설에 기여합니다.,2,5,120,hard,strategy,일꾼놓기|건설,false,false,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q932940.json,CC0-1.0,project-authored,2026-07-18,project-curation,
game-of-life,인생게임,The Game of Life,진로와 가족과 자산의 변화를 따라가는 가족 게임입니다.,회전판 결과로 이동하며 선택과 사건을 처리하고 마지막 자산을 비교합니다.,2,6,60,easy,family,가족|경주,true,true,false,false,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1319521.json,CC0-1.0,project-authored,2026-07-18,project-curation,
pentago,펜타고,Pentago,돌을 놓고 보드 구역을 회전시키는 오목형 추상 게임입니다.,돌 하나를 놓은 뒤 사분면 하나를 돌려 같은 색 다섯 개를 먼저 잇습니다.,2,2,15,medium,puzzle,추상|회전,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q1637395.json,CC0-1.0,project-authored,2026-07-18,project-curation,
wingspan,윙스팬,Wingspan,새 서식지를 조성하고 행동 엔진을 키우는 전략 게임입니다.,새 카드를 서식지에 놓고 먹이와 알과 카드를 순환시켜 목표 점수를 얻습니다.,1,5,70,medium,strategy,엔진빌딩|새,true,true,false,true,competitive,,,,https://www.wikidata.org/wiki/Special:EntityData/Q65784798.json,CC0-1.0,project-authored,2026-07-18,project-curation,
